Source,Target,Weight
blacklivesmatter,blm,17730
black,blm,4905
people,blm,2671
police,blm,2519
white,blm,2339
blm,blm,1547
blacktwitter,blm,1373
racism,blm,1275
like,blm,1194
racist,blm,1048
trump,blm,1039
us,blm,988
man,blm,960
cops,blm,863
america,blm,831
lives,blm,826
one,blm,822
get,blm,808
stop,blm,749
need,blm,747
bluelivesmatter,blm,717
resist,blm,707
chicago,blm,703
nra,blm,702
gop,blm,702
stopracism,blm,700
matter,blm,690
foxnews,blm,631
say,blm,622
time,blm,608
metoo,blm,607
see,blm,607
know,blm,603
woman,blm,594
love,blm,591
backtheblue,blm,575
via,blm,570
illinois,blm,555
lawenforcement,blm,551
new,blm,545
policelivesmatter,blm,542
life,blm,540
policenews,blm,540
usmc,blm,539
icegov,blm,538
lesm,blm,538
bluefamily,blm,537
bluewife,blm,537
firstresponders,blm,537
video,blm,537
godblessourleos,blm,532
theresistance,blm,529
bluechildren,blm,529
justice,blm,524
would,blm,523
please,blm,511
women,blm,509
may,blm,501
today,blm,499
called,blm,496
call,blm,495
right,blm,489
maga,blm,483
glbt,blm,482
2018,blm,477
day,blm,463
let,blm,461
glfop,blm,452
want,blm,452
tell,blm,451
support,blm,451
nfl,blm,450
still,blm,449
officer,blm,445
make,blm,438
think,blm,436
go,blm,432
it’s,blm,427
never,blm,426
obama,blm,423
don’t,blm,408
even,blm,406
every,blm,388
must,blm,384
american,blm,380
year,blm,376
community,blm,375
world,blm,374
back,blm,373
killed,blm,365
resistance,blm,364
blmnews,blm,363
family,blm,362
going,blm,361
movement,blm,358
old,blm,356
chicagoscanner,blm,355
good,blm,350
cop,blm,348
way,blm,347
u,blm,347
student,blm,343
person,blm,339
calling,blm,338
many,blm,334
house,blm,334
help,blm,333
african,blm,333
take,blm,329
color,blm,328
really,blm,328
impeachtrump,blm,327
fbr,blm,325
got,blm,314
another,blm,313
said,blm,312
enough,blm,308
officers,blm,308
history,blm,306
real,blm,304
gun,blm,304
vote,blm,300
3,blm,299
men,blm,297
i’m,blm,297
watch,blm,291
americans,blm,290
country,blm,288
years,blm,288
media,blm,288
much,blm,286
dnc,blm,284
shot,blm,281
says,blm,281
show,blm,281
rights,blm,278
thanks,blm,273
law,blm,272
hate,blm,271
equality,blm,269
decal,blm,267
policebrutality,blm,266
thisisamerica,blm,266
race,blm,265
racial,blm,265
stand,blm,264
children,blm,259
also,blm,259
wrong,blm,255
lgbt,blm,253
usa,blm,251
yale,blm,250
story,blm,249
neveragain,blm,248
thank,blm,247
alllivesmatter,blm,246
protest,blm,246
takeaknee,blm,246
someone,blm,244
could,blm,243
keep,blm,243
violence,blm,242
news,blm,242
latest,blm,242
work,blm,241
young,blm,240
bluewave,blm,239
ever,blm,239
needs,blm,238
well,blm,238
death,blm,238
arrested,blm,238
murdered,blm,236
nothing,blm,236
follow,blm,234
lgbtq,blm,233
look,blm,231
thing,blm,230
nflnetwork,blm,230
blacks,blm,230
hireblackcoaches,blm,230
come,blm,229
first,blm,227
democrats,blm,227
god,blm,226
always,blm,226
things,blm,226
human,blm,226
everyone,blm,225
school,blm,225
made,blm,224
change,blm,223
poc,blm,223
non,blm,222
party,blm,222
w,blm,222
state,blm,222
end,blm,221
shit,blm,219
4,blm,218
better,blm,216
daily,blm,214
last,blm,213
home,blm,213
without,blm,213
cnn,blm,211
power,blm,211
care,blm,210
great,blm,210
5,blm,207
mlk,blm,206
marchforourlives,blm,206
p2,blm,204
israel,blm,203
10,blm,201
murder,blm,200
unarmed,blm,200
king,blm,200
yet,blm,200
fuck,blm,199
live,blm,198
brutality,blm,198
strongertogether,blm,198
truth,blm,196
part,blm,196
folks,blm,195
anyone,blm,194
feel,blm,194
believe,blm,194
use,blm,193
yes,blm,193
problem,blm,193
guncontrolnow,blm,192
anti,blm,192
la,blm,191
since,blm,190
fbi,blm,190
long,blm,189
protect,blm,189
womensrights,blm,188
free,blm,188
can’t,blm,187
read,blm,187
bluewave2018,blm,184
dems,blm,184
president,blm,183
mother,blm,180
social,blm,180
calls,blm,180
crime,blm,179
two,blm,178
getting,blm,178
b,blm,177
notmypresident,blm,177
name,blm,177
book,blm,174
twitter,blm,174
fight,blm,173
true,blm,173
done,blm,172
something,blm,172
put,blm,172
killing,blm,171
saying,blm,170
kids,blm,170
blackexcellence,blm,170
makes,blm,169
freedom,blm,169
trying,blm,168
shirt,blm,167
happened,blm,167
join,blm,166
week,blm,166
cause,blm,165
ppl,blm,165
kill,blm,164
public,blm,163
racists,blm,163
antifa,blm,160
give,blm,160
slavery,blm,159
remember,blm,158
puertoricorelief,blm,158
share,blm,157
talk,blm,156
brown,blm,156
you’re,blm,155
timesup,blm,154
away,blm,154
oakland,blm,153
group,blm,153
little,blm,152
reason,blm,152
retweet,blm,152
war,blm,151
enforcement,blm,151
ctl,blm,150
speak,blm,150
gt,blm,150
arrest,blm,149
child,blm,149
around,blm,149
times,blm,149
bad,blm,148
civil,blm,147
communities,blm,147
peace,blm,147
students,blm,147
sgp,blm,147
start,blm,146
used,blm,146
important,blm,146
together,blm,145
fact,blm,144
days,blm,144
gets,blm,144
california,blm,144
skin,blm,144
breaking,blm,144
system,blm,144
attention,blm,144
un,blm,143
hope,blm,143
thursdaythoughts,blm,143
face,blm,143
check,blm,142
full,blm,142
car,blm,142
privilege,blm,142
whiteprivilege,blm,141
case,blm,141
socialjustice,blm,141
activists,blm,140
tuesdaythoughts,blm,140
demforce,blm,140
forget,blm,138
guy,blm,138
sure,blm,138
listen,blm,137
sad,blm,137
waffle,blm,136
hey,blm,136
culture,blm,136
kag,blm,135
6,blm,135
oh,blm,135
bluetsunami,blm,135
money,blm,135
hear,blm,134
n,blm,134
jail,blm,132
making,blm,132
find,blm,132
city,blm,131
africanamericans,blm,131
activist,blm,131
others,blm,131
took,blm,131
15,blm,130
teen,blm,130
place,blm,129
fucking,blm,129
left,blm,129
respect,blm,129
mean,blm,128
ask,blm,128
music,blm,128
africa,blm,127
sign,blm,127
large,blm,127
humanrights,blm,126
report,blm,126
stophate,blm,126
getwoke,blm,126
starbucks,blm,126
malema,blm,126
shows,blm,125
dear,blm,125
martin,blm,125
common,blm,125
seen,blm,124
00pm,blm,124
potus,blm,124
r,blm,124
fired,blm,124
doesn’t,blm,124
thought,blm,123
found,blm,123
next,blm,123
prison,blm,123
qanon,blm,122
son,blm,122
best,blm,121
college,blm,121
civilrights,blm,121
innocent,blm,121
que,blm,121
national,blm,120
eff,blm,120
13,blm,120
side,blm,120
facebook,blm,120
beautiful,blm,120
hard,blm,119
da,blm,119
whites,blm,119
shame,blm,119
june,blm,118
trumptrain,blm,118
happening,blm,118
room,blm,118
didn’t,blm,117
tcot,blm,117
lot,blm,117
ass,blm,117
ok,blm,117
wow,blm,116
using,blm,116
flag,blm,115
actually,blm,115
job,blm,115
friends,blm,115
victim,blm,115
died,blm,115
activism,blm,115
continue,blm,115
naacp,blm,115
education,blm,114
boycottworldcup2018,blm,114
assault,blm,113
tweet,blm,113
anything,blm,113
instead,blm,112
south,blm,112
fighting,blm,112
blackpower,blm,112
sick,blm,112
point,blm,112
everything,blm,112
blackwomen,blm,111
heart,blm,110
order,blm,110
hell,blm,110
issues,blm,110
blacklivesmatter⁠,blm,110
word,blm,110
coming,blm,109
marcusdavidlpeters,blm,109
taking,blm,109
russiansanctionsnow,blm,109
republicans,blm,109
military,blm,109
co,blm,108
blackhistory,blm,108
c,blm,108
en,blm,108
force,blm,108
sjw,blm,108
told,blm,107
already,blm,107
control,blm,107
pro,blm,107
l,blm,107
discrimination,blm,107
happen,blm,107
barack,blm,106
die,blm,106
pay,blm,106
united,blm,105
terrorist,blm,105
dead,blm,105
society,blm,105
looks,blm,105
