Source,Target,Weight
climatechange,cch,12685
climate,cch,3909
climateaction,cch,3076
change,cch,1967
environment,cch,1812
energy,cch,1353
new,cch,1078
people,cch,930
one,cch,927
via,cch,915
may,cch,871
world,cch,833
global,cch,798
us,cch,783
globalwarming,cch,761
2018,cch,739
thanks,cch,658
carbon,cch,627
latest,cch,615
science,cch,584
good,cch,580
sustainability,cch,577
daily,cch,566
pollution,cch,557
trump,cch,547
future,cch,539
globalgoals,cch,532
arctic,cch,517
solar,cch,513
acts,cch,508
week,cch,505
sdgs,cch,504
time,cch,501
water,cch,495
need,cch,494
gain,cch,493
end,cch,488
today,cch,475
emissions,cch,465
like,cch,462
6,cch,462
followers,cch,447
plasticfree,cch,445
support,cch,443
help,cch,436
gu4ph,cch,435
11,cch,433
month,cch,425
could,cch,423
make,cch,416
california,cch,413
great,cch,411
biodiversity,cch,410
action,cch,406
planet,cch,404
special,cch,402
weather,cch,392
deadline,cch,391
participate,cch,389
first,cch,386
oceans,cch,386
years,cch,386
see,cch,386
eastern,cch,386
earth,cch,385
follow,cch,375
parisagreement,cch,374
extended,cch,372
life,cch,367
auspol,cch,367
news,cch,359
transform,cch,359
report,cch,357
cause,cch,355
warming,cch,355
sea,cch,353
read,cch,353
take,cch,353
co2,cch,348
work,cch,347
sb48bonn,cch,346
sustainable,cch,345
day,cch,334
food,cch,330
health,cch,325
learn,cch,323
environmental,cch,311
save,cch,310
billions,cch,309
ice,cch,305
better,cch,303
get,cch,302
know,cch,300
must,cch,300
impacts,cch,298
multiplied,cch,296
gas,cch,292
real,cch,291
talanoadialogue,cch,291
udf31small,cch,290
renewables,cch,289
actonclimate,cch,289
followback,cch,289
countries,cch,285
year,cch,284
much,cch,282
green,cch,280
fight,cch,280
also,cch,279
research,cch,278
way,cch,274
nature,cch,271
contribute,cch,271
impact,cch,269
would,cch,267
many,cch,266
human,cch,261
4,cch,259
greenhouse,cch,258
ocean,cch,258
cities,cch,257
worldudf33,cch,254
scientists,cch,254
waterislife,cch,252
fossil,cch,250
join,cch,248
last,cch,248
state,cch,248
find,cch,246
3,cch,244
minutes,cch,244
10,cch,241
coal,cch,241
canada,cch,240
says,cch,239
la,cch,239
use,cch,238
stop,cch,238
nasa,cch,232
oil,cch,231
un,cch,230
power,cch,227
even,cch,226
renewableenergy,cch,226
important,cch,223
want,cch,219
geoengineering,cch,218
big,cch,215
data,cch,215
think,cch,215
industry,cch,215
government,cch,206
it’s,cch,206
check,cch,206
development,cch,206
5,cch,205
part,cch,205
air,cch,205
next,cch,204
create,cch,203
u,cch,203
threat,cch,201
adaptation,cch,201
still,cch,200
around,cch,200
effects,cch,199
trees,cch,198
going,cch,196
climatechangeisreal,cch,196
youth,cch,195
always,cch,194
project,cch,193
level,cch,193
study,cch,192
well,cch,191
live,cch,190
public,cch,190
look,cch,190
valuable,cch,190
plan,cch,190
–,cch,189
reduce,cch,189
million,cch,187
country,cch,186
every,cch,182
gt,cch,181
renewable,cch,180
epa,cch,180
forests,cch,179
children,cch,178
risks,cch,178
solutions,cch,177
agriculture,cch,176
rise,cch,175
chemtrails,cch,173
risk,cch,172
right,cch,172
resilience,cch,171
business,cch,170
video,cch,170
homes,cch,168
africa,cch,168
let,cch,167
companies,cch,167
another,cch,166
say,cch,165
link,cch,164
leadership,cch,164
levels,cch,163
temperature,cch,162
cleanenergy,cch,162
already,cch,162
humanity,cch,161
free,cch,161
community,cch,161
stopadani,cch,161
innovation,cch,160
policy,cch,159
en,cch,159
powerful,cch,158
generations,cch,157
national,cch,157
needs,cch,157
making,cch,157
communities,cch,156
go,cch,156
clean,cch,155
protect,cch,155
please,cch,155
fuels,cch,155
issues,cch,155
fuel,cch,152
cdnpoli,cch,151
r,cch,151
president,cch,150
bonn,cch,150
become,cch,149
face,cch,148
security,cch,147
rising,cch,146
really,cch,146
heat,cch,145
problem,cch,144
increase,cch,144
money,cch,144
due,cch,144
taking,cch,143
long,cch,142
best,cch,141
ever,cch,141
extreme,cch,141
paris,cch,140
made,cch,140
wind,cch,140
folloback,cch,139
2017,cch,139
watch,cch,139
based,cch,138
home,cch,138
uk,cch,138
together,cch,137
thank,cch,137
w,cch,137
land,cch,137
care,cch,136
city,cch,136
economy,cch,135
conference,cch,135
e,cch,135
across,cch,135
everyone,cch,133
women,cch,133
back,cch,133
stories,cch,133
c,cch,132
nuclear,cch,131
ecosystems,cch,131
keep,cch,131
share,cch,130
tackle,cch,130
never,cch,130
economic,cch,129
event,cch,129
related,cch,129
temperatures,cch,128
address,cch,128
come,cch,128
act,cch,128
