Source,Target,Weight
climatechange,cch,11769
climate,cch,3801
climateaction,cch,2892
change,cch,1936
environment,cch,1705
energy,cch,1306
new,cch,1077
people,cch,928
one,cch,923
via,cch,881
may,cch,870
world,cch,830
us,cch,780
global,cch,778
2018,cch,689
globalwarming,cch,670
thanks,cch,636
carbon,cch,615
latest,cch,587
good,cch,580
science,cch,572
daily,cch,558
pollution,cch,542
sustainability,cch,539
future,cch,535
globalgoals,cch,530
trump,cch,514
acts,cch,508
arctic,cch,504
week,cch,504
time,cch,500
sdgs,cch,498
need,cch,494
gain,cch,493
end,cch,488
water,cch,485
today,cch,473
like,cch,462
emissions,cch,461
solar,cch,461
6,cch,456
followers,cch,447
support,cch,443
plasticfree,cch,442
gu4ph,cch,435
help,cch,434
month,cch,425
could,cch,423
11,cch,422
make,cch,412
great,cch,411
biodiversity,cch,405
action,cch,405
special,cch,402
california,cch,402
planet,cch,396
deadline,cch,391
participate,cch,389
years,cch,386
eastern,cch,386
see,cch,385
first,cch,382
oceans,cch,378
follow,cch,373
extended,cch,372
earth,cch,364
transform,cch,359
parisagreement,cch,358
news,cch,356
sea,cch,353
life,cch,353
read,cch,353
take,cch,353
weather,cch,352
auspol,cch,350
cause,cch,350
report,cch,349
warming,cch,349
work,cch,345
sb48bonn,cch,337
day,cch,334
learn,cch,323
sustainable,cch,323
co2,cch,322
health,cch,317
food,cch,316
billions,cch,309
save,cch,307
environmental,cch,307
ice,cch,303
better,cch,303
get,cch,302
know,cch,300
must,cch,300
impacts,cch,298
multiplied,cch,296
udf31small,cch,290
followback,cch,289
real,cch,288
talanoadialogue,cch,288
gas,cch,286
year,cch,284
countries,cch,283
much,cch,280
also,cch,279
renewables,cch,278
research,cch,278
fight,cch,277
way,cch,274
contribute,cch,271
actonclimate,cch,267
would,cch,267
many,cch,266
impact,cch,263
green,cch,262
human,cch,259
greenhouse,cch,256
ocean,cch,256
worldudf33,cch,254
scientists,cch,254
cities,cch,253
waterislife,cch,251
fossil,cch,250
4,cch,249
last,cch,248
state,cch,247
join,cch,246
find,cch,246
nature,cch,245
minutes,cch,239
use,cch,238
says,cch,238
stop,cch,237
coal,cch,236
oil,cch,231
3,cch,229
power,cch,227
even,cch,226
important,cch,223
want,cch,219
big,cch,215
nasa,cch,214
industry,cch,214
think,cch,213
it’s,cch,206
check,cch,206
part,cch,205
government,cch,205
development,cch,205
next,cch,204
create,cch,203
threat,cch,201
still,cch,200
around,cch,200
air,cch,200
effects,cch,199
going,cch,196
adaptation,cch,195
always,cch,194
trees,cch,194
renewableenergy,cch,193
level,cch,193
project,cch,192
study,cch,192
canada,cch,192
5,cch,191
well,cch,191
10,cch,191
youth,cch,191
public,cch,190
look,cch,190
u,cch,190
valuable,cch,190
live,cch,189
geoengineering,cch,188
million,cch,187
country,cch,186
–,cch,185
plan,cch,185
every,cch,182
data,cch,179
renewable,cch,178
reduce,cch,178
children,cch,177
gt,cch,177
forests,cch,176
solutions,cch,176
agriculture,cch,175
rise,cch,175
un,cch,174
risks,cch,174
right,cch,171
business,cch,170
risk,cch,169
epa,cch,169
video,cch,168
homes,cch,168
companies,cch,167
another,cch,166
let,cch,166
say,cch,165
climatechangeisreal,cch,165
resilience,cch,164
levels,cch,163
leadership,cch,161
africa,cch,161
humanity,cch,160
free,cch,160
already,cch,160
policy,cch,159
chemtrails,cch,159
generations,cch,157
needs,cch,157
making,cch,157
powerful,cch,157
temperature,cch,156
communities,cch,156
go,cch,156
fuels,cch,155
issues,cch,155
please,cch,155
national,cch,154
clean,cch,154
protect,cch,153
fuel,cch,152
stopadani,cch,152
r,cch,150
community,cch,149
become,cch,149
president,cch,148
really,cch,146
cleanenergy,cch,146
heat,cch,145
rising,cch,145
innovation,cch,145
face,cch,145
increase,cch,144
security,cch,144
problem,cch,143
money,cch,143
taking,cch,143
due,cch,142
bonn,cch,142
ever,cch,141
extreme,cch,141
long,cch,140
made,cch,140
folloback,cch,139
best,cch,139
watch,cch,139
based,cch,138
link,cch,137
together,cch,137
thank,cch,137
home,cch,137
land,cch,137
care,cch,136
uk,cch,136
conference,cch,135
across,cch,135
everyone,cch,133
city,cch,133
wind,cch,133
w,cch,132
back,cch,132
women,cch,131
stories,cch,131
2017,cch,131
tackle,cch,130
cdnpoli,cch,130
ecosystems,cch,130
never,cch,130
keep,cch,130
share,cch,129
economy,cch,129
event,cch,129
related,cch,129
address,cch,128
act,cch,128
economic,cch,128
temperatures,cch,127
changes,cch,127
believe,cch,127
house,cch,127
paris,cch,126
local,cch,126
call,cch,126
udc4dfollo,cch,126
key,cch,126
high,cch,124
drive,cch,124
100,cch,124
record,cch,123
young,cch,123
collected,cch,123
30,cch,123
tomorrow,cch,123
talks,cch,123
talk,cch,122
come,cch,122
leaders,cch,122
natural,cch,122
solution,cch,122
working,cch,121
technology,cch,119
nuclear,cch,119
issue,cch,119
forest,cch,119
australia,cch,119
put,cch,119
progress,cch,119
post,cch,118
program,cch,118
said,cch,118
two,cch,118
farmers,cch,117
funding,cch,116
something,cch,116
c,cch,115
looking,cch,114
eu,cch,113
waste,cch,113
changing,cch,113
role,cch,113
atmosphere,cch,113
less,cch,113
fossilfuels,cch,113
system,cch,112
melting,cch,112
times,cch,112
story,cch,111
show,cch,111
continue,cch,111
shows,cch,110
article,cch,110
caused,cch,109
ago,cch,109
sac18,cch,109
done,cch,109
build,cch,109
white,cch,109
challenges,cch,109
efforts,cch,107
affect,cch,107
yet,cch,107
kindness,cch,107
interesting,cch,106
start,cch,106
simplest,cch,106
major,cch,105
step,cch,104
developing,cch,104
qldpol,cch,104
coming,cch,103
comeudf32rt,cch,103
means,cch,103
marine,cch,103
low,cch,103
methane,cch,103
society,cch,103
hurricane,cch,103
innovativevolunteerism,cch,103
using,cch,102
coastal,cch,102
fighting,cch,101
worse,cch,101
meeting,cch,101
20,cch,101
getting,cch,100
india,cch,100
bad,cch,99
china,cch,99
talking,cch,98
opportunity,cch,98
usa,cch,98
mitigation,cch,98
without,cch,98
growing,cch,98
areas,cch,98
little,cch,97
enough,cch,97
forward,cch,97
since,cch,96
conservation,cch,96
amazing,cch,96
hear,cch,96
including,cch,95
biggest,cch,95
costa,cch,95
drought,cch,94
building,cch,94
group,cch,94
jobs,cch,94
finance,cch,94
budget2018,cch,94
model,cch,93
used,cch,93
policies,cch,93
ways,cch,92
maga,cch,92
past,cch,92
understand,cch,92
states,cch,92
winter,cch,92
might,cch,91
international,cch,91
makes,cch,90
governments,cch,90
panels,cch,90
billion,cch,90
cop24,cch,90
away,cch,90
lead,cch,90
resources,cch,90
cuts,cch,89
hope,cch,89
rica,cch,89
top,cch,89
point,cch,89
happening,cch,89
love,cch,89
administration,cch,89
leading,cch,89
hard,cch,88
huge,cch,88
tourism,cch,88
worldwide,cch,88
give,cch,88
2050,cch,88
tackling,cch,88
session,cch,87
blog,cch,87
events,cch,86
education,cch,86
fracking,cch,86
dioxide,cch,86
ban,cch,86
far,cch,86
challenge,cch,86
kids,cch,85
listen,cch,85
thing,cch,85
eco,cch,85
summer,cch,85
monitoring,cch,85
growth,cch,84
team,cch,84
plant,cch,84
politics,cch,84
tech,cch,84
school,cch,84
tree,cch,84
n,cch,84
pentagon,cch,83
company,cch,83
poor,cch,83
cost,cch,83
responsible,cch,83
move,cch,82
floods,cch,82
transformational,cch,82
combat,cch,82
meet,cch,81
april,cch,81
social,cch,81
possible,cch,81
art,cch,81
dr,cch,81
focus,cch,81
7,cch,81
threats,cch,81
towards,cch,81
foodinnovation,cch,81
pruitt,cch,80
50,cch,80
don’t,cch,80
generation,cch,80
reports,cch,80
history,cch,80
evidence,cch,80
thought,cch,79
species,cch,79
electricity,cch,79
bcpoli,cch,79
students,cch,79
animals,cch,79
book,cch,79
potential,cch,79
season,cch,79
gop,cch,79
millions,cch,79
crisis,cch,79
13,cch,78
rich,cch,78
eachother,cch,78
udf0e,cch,78
e,cch,78
days,cch,78
director,cch,78
increasing,cch,78
things,cch,78
matter,cch,78
sure,cch,78
ghg,cch,78
blockchain,cch,78
found,cch,77
18,cch,77
short,cch,77
vulnerable,cch,77
american,cch,77
zero,cch,77
needed,cch,77
small,cch,77
nations,cch,77
agreement,cch,77
2020,cch,76
scientific,cch,76
ebafosa,cch,76
critical,cch,76
investment,cch,76
yes,cch,76
budget,cch,76
require,cch,76
debate,cch,76
among,cch,75
resilient,cch,75
living,cch,75
birds,cch,75
lot,cch,75
set,cch,75
per,cch,75
paper,cch,75
udc49contribute,cch,74
infrastructure,cch,74
humans,cch,74
largest,cch,74
8,cch,74
management,cch,74
deforestation,cch,74
according,cch,73
shared,cch,73
era,cch,73
soil,cch,73
tell,cch,73
significant,cch,73
political,cch,73
soon,cch,73
planning,cch,73
old,cch,73
cannot,cch,73
flooding,cch,73
recent,cch,73
pipeline,cch,73
comes,cch,73
